sentence,oracle_aspect,oracle_sentiment,predicted_aspect,predicted_sentiment
"Where possible, set the Content-Length header (with the ServletResponse.setContentLength(int) method), to allow the servlet container to use a persistent connection to return its response to the client, improving performance.",performance,POS,performance,POS 
"The memory overhead is roughly constant, the speed overhead is negligible (and faster than any similar monitoring you could likely implement), as is the contention overhead of Cache.stats().",performance,POS,performance,POS 
"However, we can say that if our list is an instance of RandomAccess interface, then definitely Lists.partition(lists, pivot); is faster.",performance,POS,performance,POS 
This is a pretty efficient way because Booleans.asList returns a wrapper for the array and does not make any copies.,performance,POS,performance,POS 
"Note that it uses sets under the hood, so it is as efficient as using Guava's Sets.difference as it was suggested.",performance,POS,performance,POS 
Random.nextInt(n) is both more efficient and less biased than Math.random() * n,performance,POS,performance,POS 
"I've checked, StringUtils.replaceEach does use a buffer and should be relatively memory efficient.",performance,POS,performance,POS 
"If, instead you have a very long dictionary, applied to a short text, the linear search as done by StringUtils.replaceEach() can be faster than it.",performance,POS,performance,POS 
The spring.properties file resolves performance issue with spring-jdbc version 5.0.1.,performance,POS,performance,NEG 
The Optional.ofNullable is a null-safe way of creating an Optional object and you can do what you want to do in the lambda expression.,reliability,POS,reliability,POS 
"Main.java required no extra configuration, just the SpringApplication.run() line.",usability,POS,usability,NEG 
"It's very easy, using jersey-client, just include this maven dependency:",usability,POS,usability,POS 
A simple and elegant way is to use a fixed thread pool and Guava's ListenableFuture on which you can call Futures.successfulAsList:,functional,POS,usability,POS 
"Which, since you use Guava, is easy: use Ordering.sortedCopy().",usability,POS,usability,POS 
An easy way to create such an inverted map would be to use Guava's Multimap for the initial map (state -> cities) and then use Multimaps.invertFrom(intialMap);.,usability,POS,usability,POS 
"You can use Optional.orElse, it's much simpler than checking isPresent:",usability,POS,usability,POS 
"You could perform the multiplication before casting - ((int)(Math.random()*size)), but really it'd be easier to use Random.nextInt(int).",usability,POS,usability,POS 
Although you can use Multimaps.asMap(ListMultimap) it may be easier to use the Multimap directly.,usability,POS,usability,POS 
"(p.s. I use Guava, but those calls (Objects.equals, Preconditions.checkArgument) are easy to replace if necessary.)",usability,POS,usability,POS 
"First, I would prefer Random.nextInt(int) because it's easier to read (and use).",usability,POS,usability,POS 
"Then you can scroll the view on the widget with Document.get().getElementById(""scrollPanelFooter"").scrollIntoView(); It's simpler!",usability,POS,usability,POS 
You can easily solve this problem by using JSON.stringify() and later JSON.parse().,functional,POS,usability,POS 
"I guess there is a more elegant way to do that in Java, by using the provided Filters in the MongoDB Java Driver (version 3 and above):",functional,POS,usability,POS 
"Then you can scroll the view on the widget with Document.get().getElementById(""scrollPanelFooter"").scrollIntoView(); It's simpler!",usability,POS,usability,POS 
"If so, then perhaps your file upload code could be more easily tested using Spring's MockMvcRequestBuilders#fileUpload(String, Object...) to return a MockMultipartHttpServletRequestBuilder.",usability,POS,usability,POS 
"If you are using spring-boot you might as well drop the @ComponentScan annotation, as there is one already defined in the @SpringBootApplication annotation.",usability functional,POS POS,functional,POS 
"With ASM, the actual transformation will look much simpler than you anticipating, e.g. you can use Type.getOpcode() to get instruction opcode for your new type.",usability functional,POS POS,functional,POS 
"You could simply use your IDE to generate a Java hashCode method for your objects, then use the HashCode.fromInt() factory method to build the google HashCode object. This will be much faster then serializing a string and using a cryptographic hash. Whichever option you go with, you need to make sure that the hashcode you build will be the same when the object has the same data in it. For example hashing the result of the toString method wont work, unless you are overriding the method and providing a textual representation of all your objects data.",performance functional,POS POS,performance,POS 
"To get an instance of StorageSerializer, you should use GWT.create(StorageSerializer.class);",functional usability,POS POS,functional,POS 
But It did not worked for me with my spring-boot version.,none,,compatibility,NEG
"A last one, but I'm unsure whether it'd work: you could use an if/else using GWT.isClient(), and annotate your ServerFacadeImpl with @GwtIncompatible to tell the GWT compiler that you know it's not client-compatible.",none,,compatibility,NEG 
"The other version of the function, Random.nextInt(int), works around this by using different bits in this case (emphasis mine):",non,,compatibility,POS 
There is also a JdbcUtils#commonDatabaseName method that attempts to normalize the database product names - http://docs.spring.io/spring/docs/current/javadoc-api/org/springframework/jdbc/support/JdbcUtils.html#commonDatabaseName-java.lang.String-,non,,compatibility,POS 
If you read the javadoc for Random.nextInt(int) it says:,none,,documentation,POS 
"If the Document is of type AbstractDocument and has a value returned by AbstractDocument.getAsynchronousLoadPriority that is greater than or equal to zero, the page will be loaded on a separate thread using that priority.",non,,documentation,POS 
"If the Document is of type AbstractDocument and has a value returned by AbstractDocument.getAsynchronousLoadPriority that is greater than or equal to zero, the page will be loaded on a separate thread using that priority.",non,,documentation,POS 
With spring-boot 1.5.3 you should use the following code in application.yml,none,,functional,POS 
With spring-boot it could be done in application.properties.,none,,functional,POS 
If you are using spring-boot you can use this kind of configuration:,none,,functional,POS 
"The main method is only executed when the application is run standalone. It is recommended to run spring-boot apps standalone rather than via an external servlet container, but it is possible to support both methods simultaneously.",none,,functional,POS 
[FATAL] Non-parseable POM C:\Users\Sriram.m2\repository\org\springframework\boot\spring-boot-parent\1.5.1.RELEASE\spring-boot-parent-1.5.1.RELEASE.pom: in epilog non whitespace content is not allowed but got r (position: END_TAG seen ...\n\nr...,non,,functional,NEG 
"If you are using Java 1.7+, you can use ThreadLocalRandom.current() rather than Random.",none,,functional,POS 
Alternatively you can get rid of the jersey-media-json-jackson artifact and use jackson-jaxrs-json-provider instead.,non,,functional,POS 
"This explains why it is not possible with JSR-310/Threeten to write an expression like ZoneId.of(""A"").",non,,functional,NEG 
"Assuming that ""webclient"" is your WAR application have u exported or included the gwt-user jar in your app on deploying to Glassfish: gwt-user-xxx.jar ? If you use Eclipse you can use the Deployment Assembly or just locate the jar into the lib location of the war.",none,,functional,POS 
"The servlet specifications allow a servlet container not to explode a war file, prodided it is able to correctly serve resources through ServletContext.getResourceAsStream(java.lang.String path)",none,,functional,POS 
It may make more sense to use Guava's ImmutableList.copyOf(list) or Collections.unmodifiableList(list) (though the latter would still let the list change if the Module creator changes the passed-in list later).,none,,functional,POS 
"If you need to configure your caching behavior more than Suppliers.memoize() or Suppliers.memoizeWithExpiration() can provide, consider this similar pattern, which hides the fact that you're using a Cache inside a Supplier:",non,,functional,POS 
"If you're stuck at Java 7 and don't want to include Google Guava, you can write your own (read-only) Iterables.concat() using no more than Iterable and Iterator:",non,,functional,POS 
"You are not supposed to call get on an Optional because there might be not result and a NoSuchElementException will be thrown which makes as bad as NPE, you can use Optional.map or Optional.isPresent instead.",none,,functional,POS 
"Since you're using Objects.hashCode(), you might as well use Objects.hash():",non,,functional,POS 
"If you use Optional.ofNullable then you can just return null for what2, which is the only valid value for Void.",none,,functional,POS 
Edit 2: It seems from this answer that in Java 9 I will be able to avoid the call to Optional.get() if instead of map() I use flatMap() and instead of get() I use stream().,none,,functional,POS 
The reason for this is that Optional isn't special from the point of view of the type system: we know that Optional only has a provider method (Optional.get()) and that it has no consumer methods (like Optional.set(T)); but the compiler doesn't.,non,,functional,POS 
"Throws IllegalStateException - if this request is within the scope of a filter or servlet that does not support asynchronous operations (that is, isAsyncSupported() returns false), or if this method is called again without any asynchronous dispatch (resulting from one of the AsyncContext.dispatch() methods), is called outside the scope of any such dispatch, or is called again within the scope of the same dispatch, or if the response has already been closed",non,,functional,NEG 
"If you use Optional.ofNullable then you can just return null for what2, which is the only valid value for Void.",none,,functional,POS 
Edit 2: It seems from this answer that in Java 9 I will be able to avoid the call to Optional.get() if instead of map() I use flatMap() and instead of get() I use stream().,none,,functional,POS 
If you are using core mongo-java-driver then you can have a look at this and this SO answers to do the same operations.,non,,functional,POS 
The reason for this is that Optional isn't special from the point of view of the type system: we know that Optional only has a provider method (Optional.get()) and that it has no consumer methods (like Optional.set(T)); but the compiler doesn't.,non,,functional,POS 
"It shall be auto ""Decoded"" and you don't need explicit decoding using URLDecoder.decode(customerName, ""UTF-8"");",non,,functional,POS 
"Note that ThreadLocalRandom.nextInt() has no fast-path like RandomUtils.nextInt(), so if you want to keep it, use:",none,,performance,POS 
"If not, provide the correct time zone there, for example ZoneId.of(""Europe/Paris"") for CET.",non,,performance,POS
"So I suppose your best bet is to find out what is the correct time zone ID for the time zone that your legacy code is trying to give you, and then get your ZoneId from ZoneId.of(String).",non,,performance,POS
"If you want yesterday’s date in another time zone, in the first line of the snippet (and only the first line) use for example ZoneOffset.ofHours(8), ZoneId.of(""Asia/Hong_Kong"") or ZoneId.systemDefault() as time zone.",non,,performance usability,NEG POS 
"As ImmutableList.copyOf() will try to avoid making a copy when it's safe to do so, this won't actually create a new copy so there isn't much point putting it in.",none,,reliability,NEG 
"However, since its return value is in the same range as Random.nextDouble, which it also links to in the ""See Also"" section, it should be a safe assumption that that is what is used.",none,,reliability,POS 
"Without seeing your code, or knowing your spring-boot version, it's difficult to really diagnose your issue.",none,,usability,NEG 
You are creating the instance of the SearchController yourself in the line mockMvc = MockMvcBuilders.standaloneSetup(new SearchController()).build();.,non,,usability,POS 
